Taxon	State
Oxyagrion_ablutum	2
Acanthagrion_adustum	0
Acanthagrion_cuyabae	0
Acanthagrion_floridense	0
Acanthagrion_inexpectum	0
Acanthagrion_lancea	0
Acanthagrion_minutum	1
Acanthagrion_obsoletum	2
Acanthagrion_rubrifrons	2
Acanthagrion_temporale	1
Acanthagrion_trilobatum	0
Acanthagrion_yungarum	0
Aciagrion_approximans	0
Aciagrion_bapepe	0
Aciagrion_borneense	0
Aciagrion_hisopa	0
Aciagrion_migratum	2
Aciagrion_nodosum	0
Aciagrion_occidentale	0
Aeolagrion_dorsale	0
Aeolagrion_inca	0
Aeolagrion_philipi	0
Africallagma_glaucum	1
Africallagma_quingentum	2
Agriocnemis_argentea	2
Agriocnemis_canuango	0
Agriocnemis_exilis	2
Agriocnemis_exsudans	2
Agriocnemis_femina	2
Agriocnemis_forcipata	2
Agriocnemis_inversa	2
Agriocnemis_kalinga	2
Agriocnemis_keralensis	2
Agriocnemis_lacteola	2
Agriocnemis_nana	0
Agriocnemis_pinheyi	2
Agriocnemis_pygmaea	0
Agriocnemis_victoria	2
Amazoneura_ephippigera	0
Amphiagrion_abbreviatum	1
Amphiagrion_saucium	2
Amphicnemis_gracilis	2
Amphicnemis_triplex	2
Amphicnemis_wallacii	2
Andinagrion_garrisoni	2
Anisagrion_allopterum	2
Anisagrion_inornatum	2
Anisagrion_kennedyi	0
Anomisma_abnorme	0
Apanisagrion_lais	0
Archibasis_melanocyana	0
Archibasis_viola	2
Argentagrion_ambiguum	1
Argia_adamsi	1
Argia_agrioides	1
Argia_alberta	1
Argia_albistigma	1
Argia_anceps	2
Argia_apicalis	1
Argia_barretti	1
Argia_bipunctulata	2
Argia_chelata	2
Argia_claussenii	2
Argia_concinna	2
Argia_croceipennis	2
Argia_cupraurea	2
Argia_cuprea	2
Argia_emma	1
Argia_euphorbia	2
Argia_extranea	1
Argia_frequentula	2
Argia_fumigata	2
Argia_fumipennis	2
Argia_funcki	2
Argia_garrisoni	2
Argia_gaumeri	0
Argia_harknessi	1
Argia_hinei	2
Argia_huanacina	0
Argia_immunda	1
Argia_inculta	2
Argia_indicatrix	1
Argia_insipida	0
Argia_jocosa	2
Argia_joergenseni	2
Argia_johanella	0
Argia_jujuya	2
Argia_lacrimans	1
Argia_leonorae	2
Argia_lilacina	2
Argia_limitata	2
Argia_lugens	2
Argia_medullaris	2
Argia_meioura	2
Argia_modesta	2
Argia_moesta	1
Argia_munda	1
Argia_nahuana	1
Argia_oculata	1
Argia_oenea	1
Argia_orichalcea	2
Argia_pallens	2
Argia_pima	1
Argia_plana	1
Argia_pocomana	1
Argia_popoluca	2
Argia_pulla	2
Argia_rhoadsi	1
Argia_sabino	1
Argia_sedula	2
Argia_sordida	0
Argia_talamanca	0
Argia_tarascana	1
Argia_terira	2
Argia_tezpi	1
Argia_tibialis	1
Argia_tonto	0
Argia_translata	2
Argia_ulmeca	0
Argia_underwoodi	0
Argia_variegata	2
Argia_vivida	1
Argia_westfalli	2
Argiocnemis_rubescens_rubeola	2
Argiocnemis_rubescens_rubescens	2
Austroagrion_cyane	2
Austroagrion_exclamationis	2
Austroagrion_watsoni	2
Austrocnemis_splendida	1
Austrocoenagrion_lyelli	0
Azuragrion_nigridorsum	2
Azuragrion_vansomereni	2
Calvertagrion_declivatum	2
Ceriagrion_aeruginosum	2
Ceriagrion_annulatum	2
Ceriagrion_auranticum	2
Ceriagrion_azureum	2
Ceriagrion_bellona	2
Ceriagrion_cerinorubellum	0
Ceriagrion_chaoi	2
Ceriagrion_corallinum	2
Ceriagrion_coromandelianum	0
Ceriagrion_fallax	2
Ceriagrion_glabrum	2
Ceriagrion_indochinense	2
Ceriagrion_katamborae	2
Ceriagrion_melanurum	2
Ceriagrion_nipponicum	2
Ceriagrion_olivaceum	0
Ceriagrion_platystigma	2
Ceriagrion_tenellum	1
Ceriagrion_whellani	0
Chromagrion_conditum	1
Coenagriocnemis_insularis	0
Coenagrion_angulatum	1
Coenagrion_caerulescens	1
Coenagrion_ecornutum	1
Coenagrion_glaciale	0
Coenagrion_hastulatum	1
Coenagrion_hylas	1
Coenagrion_intermedium	2
Coenagrion_interrogatum	1
Coenagrion_johanssoni	1
Coenagrion_lanceolatum	1
Coenagrion_lunulatum	1
Coenagrion_mercuriale	1
Coenagrion_puella	1
Coenagrion_pulchellum	1
Coenagrion_resolutum	1
Coenagrion_scitulum	1
Coenagrion_terue	1
Coryphagrion_grandis	0
Cyanallagma_bonariense	0
Cyanallagma_interruptum	1
Dolonagrion_fulvellum	2
Enallagma_anna	1
Enallagma_annexum	1
Enallagma_antennatum	2
Enallagma_aspersum	0
Enallagma_basidens	2
Enallagma_boreale	1
Enallagma_cardenium	1
Enallagma_carunculatum	1
Enallagma_circulatum	1
Enallagma_civile	1
Enallagma_clausum	1
Enallagma_coecum	0
Enallagma_concisum	2
Enallagma_cyathigerum	1
Enallagma_daeckii	1
Enallagma_davisi	1
Enallagma_divagans	0
Enallagma_doubledayi	1
Enallagma_dubium	2
Enallagma_durum	1
Enallagma_ebrium	1
Enallagma_exsulans	1
Enallagma_geminatum	0
Enallagma_hageni	1
Enallagma_minusculum	1
Enallagma_novaehispaniae	1
Enallagma_pollutum	0
Enallagma_praevarum	1
Enallagma_signatum	0
Enallagma_sulcatum	0
Enallagma_traviatum	0
Enallagma_vernale	1
Enallagma_vesperum	1
Enallagma_weewa	1
Epipleoneura_fuscaenea	0
Epipleoneura_lamina	0
Epipleoneura_spatulata	0
Epipleoneura_venezuelensis	0
Erythromma_humerale	2
Erythromma_lindenii	2
Erythromma_najas	2
Erythromma_viridulum	2
Forcepsioneura_sancta	0
Hesperagrion_heterodoxum	0
Homeoura_chelifera	1
Homeoura_lindneri	1
Idioneura_ancilla	0
Inpabasis_hubelli	2
Ischnura_armstrongi	2
Ischnura_asiatica	2
Ischnura_aurora	1
Ischnura_barberi	1
Ischnura_capreolus	1
Ischnura_cardinalis	2
Ischnura_cervula	1
Ischnura_cruzi	2
Ischnura_damula	1
Ischnura_demorsa	1
Ischnura_denticollis	1
Ischnura_elegans	1
Ischnura_erratica	1
Ischnura_evansi	1
Ischnura_ezoin	0
Ischnura_fluviatilis	1
Ischnura_fountaineae	1
Ischnura_foylei	1
Ischnura_gemina	1
Ischnura_graellsii	1
Ischnura_hastata	2
Ischnura_heterosticta	1
Ischnura_intermedia	2
Ischnura_kellicotti	0
Ischnura_pamelae	1
Ischnura_perparva	1
Ischnura_posita	0
Ischnura_prognata	2
Ischnura_pruinescens	2
Ischnura_pumilio	1
Ischnura_ramburii	1
Ischnura_rufostigma	1
Ischnura_saharensis	1
Ischnura_senegalensis	1
Ischnura_sp	2
Ischnura_taitensis	0
Ischnura_ultima	1
Ischnura_verticalis	1
Leptagrion_elongatum	0
Leptagrion_macrurum	2
Leptagrion_perlongum	0
Leptobasis_lucifer	2
Leptobasis_vacillans	1
Platystigma_jocaste	0
Mecistogaster_linearis	0
Mecistogaster_lucretia	0
Mecistogaster_modesta	0
Megalagrion_blackburni	1
Megalagrion_calliphya	1
Megalagrion_eudytum	2
Megalagrion_hawaiiense	1
Megalagrion_heterogamias	2
Megalagrion_nigrohamatum	0
Megalagrion_oahuense	2
Megalagrion_oresitrophum	2
Megalagrion_vagabundum	2
Megaloprepus_caerulatus	0
Melanesobasis_corniculata	0
Melanesobasis_flavilabris	0
Melanesobasis_mcleani	0
Mesamphiagrion_dunklei	0
Mesoleptobasis_acuminata	0
Mesoleptobasis_elongata	2
Metaleptobasis_byrsonima	0
Metaleptobasis_mauffrayi	0
Metaleptobasis_minteri	2
Metaleptobasis_quadricornis	0
Microstigma_anomalum	0
Microstigma_rotundatum	0
Minagrion_mecistogastrum	2
Minagrion_waltheri	1
Mortonagrion_aborense	0
Mortonagrion_arthuri	2
Mortonagrion_hirosei	1
Mortonagrion_selenion	2
Nehalennia_gracilis	1
Nehalennia_integricollis	0
Nehalennia_irene	1
Nehalennia_minuta	0
Nehalennia_pallidula	1
Nehalennia_speciosa	1
Neoerythromma_cultellatum	2
Neoneura_aaroni	2
Neoneura_amelia	2
Neoneura_bilinearis	2
Neoneura_confundens	2
Neoneura_esthera	2
Neoneura_fulvicollis	2
Neoneura_joana	2
Neoneura_myrthea	2
Neoneura_rubriventris	2
Neoneura_sylvatica	2
Nesobasis_sp4	0
Nesobasis_sp1	0
Nesobasis_erythrops	2
Nesobasis_flavifrons	0
Nesobasis_sp2	0
Nesobasis_longistyla	0
Nesobasis_sp6	0
Nesobasis_sp3	0
Oxyagrion_hempeli	2
Oxyagrion_rubidum	2
Oxyagrion_simile	2
Oxyagrion_terminale	2
Oxyallagma_dissidens	2
Pacificagrion_lachrymosa	2
Pacificagrion_sp	2
Pandanobasis_cantuga	0
Papuagrion_marijanmatoki	2
Paracercion_calamorum	1
Paracercion_hieroglyphicum	2
Paracercion_melanotum	2
Paracercion_plagiosum	2
Paracercion_sieboldii	1
Paracercion_vnigrum	2
Peristicta_sp	0
Phasmoneura_exigua	2
Phoenicagrion_flammeum	0
Proischnura_subfurcata	2
Protoneura_ailsa	2
Protoneura_amatoria	2
Protoneura_calverti	2
Protoneura_cara	0
Protoneura_macintyrei	0
Protoneura_paucinervis	2
Protoneura_romanae	0
Protoneura_scintilla	2
Protoneura_sulfurata	2
Protoneura_viridis	0
Protoneura_woytkowskii	2
Psaironeura_bifurcata	2
Psaironeura_remissa	2
Psaironeura_tenuissima	2
Pseudagrion_acaciae	2
Pseudagrion_aureofrons	2
Pseudagrion_australasiae	1
Pseudagrion_caffrum	2
Pseudagrion_citricola	2
Pseudagrion_deningi	0
Pseudagrion_epiphonematicum	2
Pseudagrion_glaucescens	0
Pseudagrion_glaucum	0
Pseudagrion_hageni	0
Pseudagrion_hamoni	2
Pseudagrion_ignifer	0
Pseudagrion_incisurum	0
Pseudagrion_kersteni	2
Pseudagrion_kibalense	2
Pseudagrion_makabusiense	0
Pseudagrion_malagasoides	0
Pseudagrion_massaicum	2
Pseudagrion_melanicterum	0
Pseudagrion_microcephalum	1
Pseudagrion_nubicum	1
Pseudagrion_pilidorsum	2
Pseudagrion_pruinosum	2
Pseudagrion_rubriceps	2
Pseudagrion_salisburyense	2
Pseudagrion_sjoestedti	2
Pseudagrion_spencei	2
Pseudagrion_spernatum	2
Pseudagrion_sublacteum	2
Pseudagrion_torridum	1
Pyrrhosoma_elisabethae	2
Pyrrhosoma_nymphula	1
Ischnura_nursei	1
Sangabasis_dentifer	0
Teinobasis_alluaudi	0
Teinobasis_cryptica	0
Teinobasis_filamenta	2
Teinobasis_fortis	0
Teinobasis_laidlawi	2
Teinobasis_rajah	0
Teinobasis_ruficollis	0
Teinobasis_rufithorax	2
Telagrion_longum	2
Telebasis_byersi	2
Telebasis_carmesina	2
Telebasis_corallina	2
Telebasis_demarara	0
Telebasis_digiticollis	2
Telebasis_filiola	2
Telebasis_garleppi	0
Telebasis_levis	2
Telebasis_obsoleta	2
Telebasis_salva	2
Telebasis_simulata	2
Telebasis_vulnerata	2
Telebasis_willinki	2
Tigriagrion_aurantinigrum	0
Xanthagrion_erythroneura	2
Xanthocnemis_tuanuii	1
Xanthocnemis_zealandica	1
Xiphiagrion_cyanomelas	0
Zoniagrion_exclamationis	0
