Taxon	Lat	Hab	State
Aciagrion_bapepe	Trp	C	0
Aciagrion_nodosum	Trp	C	0
Africallagma_glaucum	Tmp	O	1
Africallagma_quingentum	Tmp	O	2
Agriocnemis_canuango	Trp	O	0
Agriocnemis_exilis	Trp	O	2
Agriocnemis_forcipata	Trp	O	2
Agriocnemis_inversa	Trp	O	2
Agriocnemis_pinheyi	Tmp	O	2
Agriocnemis_victoria	Trp	O	2
Azuragrion_nigridorsum	Trp	O	2
Azuragrion_vansomereni	Trp	O	2
Ceriagrion_annulatum	Trp	C	2
Ceriagrion_corallinum	Trp	O	2
Ceriagrion_glabrum	Trp	O	2
Ceriagrion_katamborae	Trp	O	2
Ceriagrion_whellani	Trp	O	0
Coryphagrion_grandis	Trp	C	0
Ischnura_evansi	Tmp	O	1
Ischnura_fountaineae	Tmp	O	1
Ischnura_saharensis	Tmp	O	1
Proischnura_subfurcata	Trp	O	2
Pseudagrion_acaciae	Trp	O	2
Pseudagrion_caffrum	Tmp	O	2
Pseudagrion_deningi	Trp	O	0
Pseudagrion_epiphonematicum	Trp	C	2
Pseudagrion_glaucescens	Trp	O	0
Pseudagrion_glaucum	Trp	C	0
Pseudagrion_hageni	Trp	C	0
Pseudagrion_hamoni	Trp	O	2
Pseudagrion_kibalense	Trp	C	2
Pseudagrion_makabusiense	Trp	O	0
Pseudagrion_malagasoides	Trp	C	0
Pseudagrion_massaicum	Trp	O	2
Pseudagrion_melanicterum	Trp	C	0
Pseudagrion_nubicum	Trp	O	1
Pseudagrion_salisburyense	Trp	O	2
Pseudagrion_spernatum	Trp	O	2
Pseudagrion_sublacteum	Trp	O	2
Pseudagrion_torridum	Trp	O	1
Teinobasis_alluaudi	Trp	C	0
Ceriagrion_tenellum	Tmp	O	1
Coenagrion_caerulescens	Tmp	O	1
Coenagrion_mercuriale	Tmp	C	1
Erythromma_lindenii	Tmp	O	2
Austroagrion_exclamationis	Trp	O	2
Austrocoenagrion_lyelli	Tmp	O	0
Ischnura_armstrongi	Trp	O	2
Ischnura_pamelae	Trp	O	1
Ischnura_pruinescens	Trp	O	2
Melanesobasis_corniculata	Trp	C	0
Melanesobasis_flavilabris	Trp	C	0
Melanesobasis_mcleani	Trp	C	0
Nesobasis_erythrops	Trp	O	2
Nesobasis_flavifrons	Trp	C	0
Nesobasis_sp2	Trp	O	0
Nesobasis_sp4	Trp	C	0
Nesobasis_sp6	Trp	C	0
Pacificagrion_lachrymosa	Trp	O	2
Pacificagrion_sp	Trp	O	2
Papuagrion_marijanmatoki	Trp	O	2
Pseudagrion_ignifer	Trp	C	0
Teinobasis_rufithorax	Trp	C	2
Xanthocnemis_tuanuii	Tmp	O	1
Xanthocnemis_zealandica	Tmp	O	1
Argiocnemis_rubescens_rubeola	Trp	C	2
Argiocnemis_rubescens_rubescens	Trp	C	2
Xiphiagrion_cyanomelas	Trp	O	0
Acanthagrion_inexpectum	Trp	O	0
Anisagrion_kennedyi	Trp	O	0
Argia_anceps	Trp	O	2
Argia_chelata	Trp	O	2
Argia_concinna	Trp	O	2
Argia_frequentula	Trp	C	2
Argia_gaumeri	Trp	O	0
Argia_johanella	Trp	O	0
Argia_popoluca	Trp	C	2
Argia_terira	Tmp	C	2
Argia_ulmeca	Trp	C	0
Argia_underwoodi	Tmp	C	0
Enallagma_coecum	Trp	C	0
Mecistogaster_modesta	Trp	C	0
Protoneura_sulfurata	Trp	C	2
Protoneura_viridis	Trp	C	0
Telebasis_digiticollis	Trp	O	2
Telebasis_levis	Trp	O	2
Argia_adamsi	Trp	C	1
Argia_cupraurea	Trp	O	2
Argia_indicatrix	Trp	C	1
Argia_insipida	Trp	O	0
Argia_oculata	Trp	C	1
Argia_pulla	Trp	O	2
Argia_talamanca	Trp	C	0
Ischnura_capreolus	Trp	O	1
Leptobasis_vacillans	Trp	O	1
Mecistogaster_linearis	Trp	C	0
Megaloprepus_caerulatus	Trp	C	0
Neoneura_esthera	Trp	C	2
Neoneura_myrthea	Trp	C	2
Protoneura_amatoria	Trp	C	2
Psaironeura_remissa	Trp	C	2
Telebasis_corallina	Trp	O	2
Telebasis_filiola	Trp	O	2
Telebasis_garleppi	Trp	O	0
Ceriagrion_nipponicum	Tmp	O	2
Coenagrion_ecornutum	Tmp	O	1
Coenagrion_glaciale	Tmp	O	0
Coenagrion_hylas	Tmp	O	1
Coenagrion_lanceolatum	Tmp	O	1
Enallagma_circulatum	Tmp	O	1
Erythromma_humerale	Tmp	O	2
Ischnura_asiatica	Tmp	O	2
Mortonagrion_selenion	Tmp	O	2
Paracercion_vnigrum	Tmp	O	2
Coenagrion_hastulatum	Tmp	O	1
Coenagrion_johanssoni	Tmp	O	1
Coenagrion_lunulatum	Tmp	O	1
Enallagma_cyathigerum	Tmp	O	1
Nehalennia_speciosa	Tmp	O	1
Ischnura_pumilio	Tmp	O	1
Ischnura_elegans	Tmp	O	1
Ceriagrion_fallax	Tmp	O	2
Aciagrion_migratum	Tmp	O	2
Ceriagrion_melanurum	Tmp	O	2
Mortonagrion_hirosei	Tmp	O	1
Coenagrion_intermedium	Tmp	C	2
Coenagrion_puella	Tmp	O	1
Coenagrion_pulchellum	Tmp	O	1
Coenagrion_scitulum	Tmp	O	1
Erythromma_najas	Tmp	O	2
Erythromma_viridulum	Tmp	O	2
Agriocnemis_keralensis	Trp	O	2
Aciagrion_hisopa	Trp	O	0
Agriocnemis_kalinga	Trp	O	2
Ceriagrion_cerinorubellum	Trp	O	0
Ceriagrion_coromandelianum	Trp	O	0
Ceriagrion_olivaceum	Trp	O	0
Pseudagrion_australasiae	Trp	O	1
Pseudagrion_pruinosum	Trp	O	2
Amphiagrion_saucium	Tmp	C	2
Argia_agrioides	Tmp	O	1
Argia_alberta	Tmp	O	1
Argia_bipunctulata	Tmp	O	2
Argia_emma	Tmp	O	1
Argia_fumipennis	Tmp	O	2
Argia_garrisoni	Tmp	O	2
Argia_hinei	Tmp	O	2
Argia_leonorae	Tmp	O	2
Argia_lugens	Tmp	O	2
Argia_munda	Tmp	O	1
Argia_nahuana	Tmp	O	1
Argia_pima	Tmp	C	1
Argia_rhoadsi	Tmp	C	1
Argia_sabino	Tmp	O	1
Argia_tibialis	Tmp	C	1
Argia_vivida	Tmp	O	1
Coenagrion_angulatum	Tmp	O	1
Coenagrion_interrogatum	Tmp	O	1
Coenagrion_resolutum	Tmp	O	1
Enallagma_anna	Tmp	O	1
Enallagma_annexum	Tmp	O	1
Enallagma_antennatum	Tmp	O	2
Enallagma_basidens	Tmp	O	2
Enallagma_boreale	Tmp	O	1
Enallagma_carunculatum	Tmp	O	1
Enallagma_clausum	Tmp	O	1
Enallagma_concisum	Tmp	O	2
Enallagma_daeckii	Tmp	C	1
Enallagma_davisi	Tmp	O	1
Enallagma_divagans	Tmp	C	0
Enallagma_doubledayi	Tmp	O	1
Enallagma_dubium	Tmp	O	2
Enallagma_ebrium	Tmp	O	1
Enallagma_exsulans	Tmp	O	1
Enallagma_geminatum	Tmp	O	0
Enallagma_hageni	Tmp	O	1
Enallagma_pollutum	Tmp	O	0
Enallagma_sulcatum	Tmp	O	0
Enallagma_traviatum	Tmp	O	0
Enallagma_vernale	Tmp	O	1
Enallagma_vesperum	Tmp	C	1
Enallagma_weewa	Tmp	C	1
Hesperagrion_heterodoxum	Tmp	C	0
Ischnura_barberi	Tmp	O	1
Ischnura_cervula	Tmp	O	1
