Taxon,Region_1,Region_2,Region_3,Region_4,Biome_1,Biome_2,Biome_3
Aciagrion_africanum,Afr,,,,T,,
Aciagrion_bapepe,Afr,,,,T,,
Aciagrion_brosseti,Afr,,,,T,,
Aciagrion_nodosum,Afr,,,,T,,
Africallagma_elongatum,Afr,,,,W,,
Africallagma_glaucum,Afr,,,,W,,
Africallagma_pseudelongatum,Afr,,,,W,,
Africallagma_quingentum,Afr,,,,W,,
Africallgama_vaginale,Afr,,,,T,W,
Agriocnemis_canuango,Afr,,,,T,,
Agriocnemis_exilis,Afr,,,,T,,
Agriocnemis_forcipata,Afr,,,,T,,
Agriocnemis_inversa,Afr,,,,T,,
Agriocnemis_maclachlani,Afr,,,,T,,
Agriocnemis_pinheyi,Afr,,,,W,,
Agriocnemis_toto,Afr,,,,T,,
Agriocnemis_victoria,Afr,,,,T,,
Allocnemis_abbotti,Afr,,,,T,,
Allocnemis_cyanura,Afr,,,,T,,
Allocnemis_leucosticta,Afr,,,,W,,
Allocnemis_marshalli,Afr,,,,T,,
Allocnemis_nigripes,Afr,,,,T,,
Allocnemis_pauli,Afr,,,,T,,
Allocnemis_vicki,Afr,,,,T,,
Arabicnemis_caerulea,,,,,,,
Azuragrion_buchholzi,Afr,,,,T,,
Azuragrion_nigridorsum,Afr,,,,T,,
Azuragrion_vansomereni,Afr,,,,T,,
Ceriagrion_annulatum,Afr,,,,T,,
Ceriagrion_bakeri,Afr,,,,T,,
Ceriagrion_banditum,Afr,,,,T,,
Ceriagrion_corallinum,Afr,,,,T,,
Ceriagrion_glabrum,Afr,,,,T,,
Ceriagrion_junceum,Afr,,,,T,,
Ceriagrion_katamborae,Afr,,,,T,,
Ceriagrion_kordofanicum,Afr,,,,T,,
Ceriagrion_obfuscans,Afr,,,,T,,
Ceriagrion_platystigma,Afr,,,,T,,
Ceriagrion_rubellocerinum,Afr,,,,T,,
Ceriagrion_sakejii,Afr,,,,T,,
Ceriagrion_suave,Afr,,,,T,,
Ceriagrion_whellani,Afr,,,,T,,
Coenagriocnemis_insularis,Afr,,,,T,,
Coenagriocnemis_rufipes,Afr,,,,T,,
Copera_congolensis,Afr,,,,T,,
Copera_guttifera,Afr,,,,T,,
Copera_nyansana,Afr,,,,T,,
Copera_rufipes,Afr,,,,T,,
Copera_sikassoensis,Afr,,,,T,,
Coryphagrion_grandis,Afr,,,,T,,
Elattoneura_acuta,Afr,,,,T,,
Elattoneura_aurifex,Afr,,,,T,,
Elattoneura_balli,Afr,,,,T,,
Elattoneura_cellularis,Afr,,,,T,,
Elattoneura_centrafricana,Afr,,,,T,,
Elattoneura_frenulata,Afr,,,,T,,
Elattoneura_glauca,Afr,,,,T,W,
Elattoneura_josemorai,Afr,,,,T,,
Elattoneura_lapidaria,Afr,,,,T,,
Elattoneura_lliba,Afr,,,,T,,
Elattoneura_nigra,Afr,,,,T,,
Elattoneura_tarbotonorum,Afr,,,,T,,
Elattoneura_tsiamae,Afr,,,,T,,
Elattoneura_vittata,Afr,,,,T,,
Ischnura_evansi,Afr,,,,W,,
Ischnura_fountaineae,Afr,,,,W,,
Ischnura_saharensis,Afr,,,,W,,
Mesocnemis_robusta,Afr,,,,T,,
Mesocnemis_singularis,Afr,,,,T,,
Metacnemis_valida,Afr,,,,W,,
