Family,Taxon,Latitude,Habitat,MaleTP,MaleTC1,MaleTC2,MaleS17P,MaleS17C1,MaleS17C2,MaleS89P,MaleS89C1,MaleS89C2,AFemTP,AFemTC1,AFemTC2,AFemS17P,AFemS17C1,AFemS17C2,AFemS89P,AFemS89C1,AFemS89C2,HFemTP,HFemTC1,HFemTC2,HFemS17P,HFemS17C1,HFemS17C2,HFemS89P,HFemS89C1,HFemS89C2,HFemale,AFemale,Polymorphism,FemState,Book,Article,IUCN,Online,Field,Collection
Coenagrionidae,Oxyagrion_ablutum,Tmp,O,1,BLA,BLU,0,BLA,BLA,1,BLA,BLU,NA,,,NA,,,NA,,,1,BLA,GRE,0,BLA,BLA,1,BLA,BLU,1,0,0,2,"Heckman (2008), von Ellenrieder and Garrison (2007)",,,https://www.ecoregistros.org/folha/Oxyagrion-ablutum,,
Coenagrionidae,Acanthagrion_adustum,Trp,O,1,BLA,O,0,BLA,BLA,1,BLA,O,1,BLA,O,0,BLA,BLA,0,BLA,BLA,NA,,,NA,,,NA,,,0,1,0,0,Heckman (2008),,,,Guyana,FSCA
Coenagrionidae,Acanthagrion_amazonicum,NA,NA,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,NA,NA,Heckman (2008),,,,,FSCA
Coenagrionidae,Acanthagrion_apicale,NA,NA,1,BLA,O,0,BLA,BLA,1,BLA,BLU,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,NA,NA,Heckman (2008),,,,,FSCA
Coenagrionidae,Acanthagrion_sp4,NA,NA,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,NA,NA,Heckman (2008),,,,,FSCA
Coenagrionidae,Acanthagrion_sp5,NA,NA,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,NA,NA,Heckman (2008),,,,,FSCA
Coenagrionidae,Acanthagrion_cuyabae,Trp,O,1,BLA,BLU,0,BLA,BLA,1,BLA,BLU,1,BLA,BLU,0,BLA,BLA,0,BLA,BLA,NA,,,NA,,,NA,,,0,1,0,0,Heckman (2008),,von Ellenrieder (2009a),https://inaturalist.ca/taxa/92996-Acanthagrion-cuyabae/browse_photos,,
Coenagrionidae,Acanthagrion_floridense,Trp,O,1,BLA,BLU,0,BLA,BLA,1,BLA,BLU,1,BLA,BLU,0,BLA,BLA,1,BLA,BLU,NA,,,NA,,,NA,,,0,1,0,0,Heckman (2008),,Lozano and Muzon (2020a),https://inaturalist.ca/taxa/197549-Acanthagrion-floridense/browse_photos,,FSCA
Coenagrionidae,Acanthagrion_fluviatile,NA,NA,NA,,,NA,,,NA,,,1,BRO,BLU,0,BLA,BLA,1,BLA,BLU,NA,,,NA,,,NA,,,NA,,NA,NA,Heckman (2008),von Ellenrieder et al (2017),,,,FSCA
Coenagrionidae,Acanthagrion_gracile,NA,NA,1,BLA,BLU,0,BLA,BLA,1,BLA,BLU,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,NA,NA,Heckman (2008),,,https://inaturalist.ca/taxa/197547-Acanthagrion-gracile/browse_photos,,
Coenagrionidae,Acanthagrion_sp3,NA,NA,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,NA,NA,,,von Ellenrieder and Tennessen (2016),,,
Coenagrionidae,Acanthagrion_inexpectum,Trp,O,1,BLA,BLU,0,BLA,BLA,1,BLA,BLU,1,BLA,BLU,0,BLA,BLA,1,BLA,BLU,NA,,,NA,,,NA,,,0,1,0,0,"Heckman (2008), Paulson and Haber (2021)",,von Ellenrieder (2009b),https://inaturalist.ca/taxa/92998-Acanthagrion-inexpectum/browse_photos,,FSCA
Coenagrionidae,Acanthagrion_lancea,Trp,O,1,BLA,BLU,0,BLA,BLA,1,BLA,BLU,1,BLA,BLU,0,BLA,BLA,1,BLA,BLU,NA,,,NA,,,NA,,,0,1,0,0,Heckman (2008),,,https://inaturalist.ca/taxa/197553-Acanthagrion-lancea/browse_photos,,
Coenagrionidae,Acanthagrion_minutum,Trp,O,1,BLA,BLU,1,BLA,BLU,1,BLA,BLU,1,BLA,BLU,1,BLA,BLU,1,BLA,BLU,1,BLA,BRO,1,BLA,BRO,1,BLA,BRO,1,1,1,1,Heckman (2008),von Ellenrieder et al (2017),,,"Guyana, Argentina",FSCA
Coenagrionidae,Acanthagrion_obsoletum,Trp,C,1,BLA,R,0,BLA,BLA,0,BLA,BLA,NA,,,NA,,,NA,,,1,BLA,BRO,0,BLA,BLA,0,BLA,BLA,1,0,0,2,Heckman (2008),,Hoffmann et al (2016a),,,FSCA
Coenagrionidae,Acanthagrion_sp2,NA,NA,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,NA,NA,,,,,,
Coenagrionidae,Acanthagrion_phallicorne,NA,NA,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,NA,NA,Heckman (2008),,,,,FSCA
Coenagrionidae,Acanthagrion_rubrifrons,Trp,C,1,BLA,Y,0,BLA,BLA,1,BLA,BLU,NA,,,NA,,,NA,,,1,BLA,BLU,0,BLA,BLA,1,BLA,BLU,1,0,0,2,Heckman (2008),,,http://libellules-guyane.net/determiner/Acanthagrion_rubrifrons/,,FSCA
Coenagrionidae,Acanthagrion_sp1,NA,NA,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,NA,NA,,,,,,
Coenagrionidae,Acanthagrion_temporale,Trp,O,1,BLA,BLU,1,BLA,BLU,1,BLA,BLU,1,BLA,BLU,1,BLA,BLU,1,BLA,BLU,1,BLA,BRO,1,BLA,BRO,0,BLA,BLA,1,1,1,1,"Heckman (2008), Kompier (2015)",,,,,
Coenagrionidae,Acanthagrion_trilobatum,NA,NA,1,BLA,GRE,0,BLA,BLA,1,BLA,BLU,1,BLA,GRE,0,BLA,BLA,1,BLA,BLU,NA,,,NA,,,NA,,,0,1,0,0,"Heckman (2008), Paulson and Haber (2021)",,,https://inaturalist.ca/taxa/197560-Acanthagrion-trilobatum/browse_photos,,FSCA
Coenagrionidae,Acanthagrion_vidua,NA,NA,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,NA,NA,Heckman (2008),,,,,FSCA
Coenagrionidae,Acanthagrion_yungarum,Trp,O,1,BLA,BLU,0,BLA,BLA,1,BLA,BLU,1,BLA,BLU,0,BLA,BLA,1,BLA,BLU,NA,,,NA,,,NA,,,0,1,0,0,Heckman (2008),,,,,FSCA
Coenagrionidae,Aciagrion_africanum,NA,NA,1,BLA,BLU,1,BLA,BLU,1,BLA,BLU,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,NA,NA,Dijkstra and Clausnitzer (2014),,Clausnitzer et al (2016a),http://addo.adu.org.za/index.php?taxon_id=21100,,
Coenagrionidae,Aciagrion_approximans,Trp,O,1,BLA,BLU,0,BLA,BLA,1,BLA,BLU,1,BLA,BLU,0,BLA,BLA,1,BLA,BLU,NA,,,NA,,,NA,,,0,1,0,0,,Kosterin (2012),Dow (2009b),https://www.inaturalist.org/taxa/93143-Aciagrion-approximans/browse_photos,,
Coenagrionidae,Aciagrion_bapepe,Trp,C,1,BLA,BLU,0,BLA,BLA,1,BLA,BLU,1,BLA,BLU,0,BLA,BLA,1,BLA,BLU,NA,,,NA,,,NA,,,0,1,0,0,,,Clausnitzer (2017a),,Cameroon,
Coenagrionidae,Aciagrion_borneense,Trp,O,1,BLA,BLU,0,BLA,BLA,1,BLA,BLU,1,BLA,BLU,0,BLA,BLA,1,BLA,BLU,NA,,,NA,,,NA,,,0,1,0,0,,,Dow (2011a),https://www.inaturalist.org/taxa/149164-Aciagrion-borneense/browse_photos,,FSCA
Coenagrionidae,Aciagrion_brosseti,NA,NA,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,NA,NA,,,,http://addo.adu.org.za/index.php?taxon_id=21400,,
Coenagrionidae,Aciagrion_hisopa,Trp,O,1,BLA,BLU,0,BLA,BLA,1,BLA,BLU,1,BLA,BLU,0,BLA,BLA,1,BLA,BLU,NA,,,NA,,,NA,,,0,1,0,0,Hung Bun et al (2010),Kosterin (2012),Dow (2009a),https://www.inaturalist.org/taxa/93152-Aciagrion-hisopa/browse_photos,,
Coenagrionidae,Aciagrion_migratum,Tmp,O,1,BLA,BLU,0,BLA,BLA,1,BLA,BLU,NA,,,NA,,,NA,,,1,BLA,GRE,0,BLA,BLA,1,BLA,BRO,1,0,0,2,Ozono et al (2012),,Karube (2009a),https://www.inaturalist.org/taxa/93154-Aciagrion-migratum/browse_photos,,
Coenagrionidae,Aciagrion_nodosum,Trp,C,1,BLA,BLU,0,BLA,BLA,1,BLA,BLU,1,BLA,BLU,0,BLA,BLA,1,BLA,BLU,NA,,,NA,,,NA,,,0,1,0,0,,,Clausnitzer and Suhling (2018a),http://addo.adu.org.za/index.php?taxon_id=21900,,
Coenagrionidae,Aciagrion_occidentale,NA,NA,1,BLA,BLU,0,BLA,BLA,1,BLA,BLU,1,BLA,BLU,0,BLA,BLA,1,BLA,BLU,NA,,,NA,,,NA,,,0,1,0,0,,,Mitra (2010a),https://www.inaturalist.org/taxa/93156-Aciagrion-occidentale/browse_photos,,
Coenagrionidae,Aeolagrion_dorsale,Trp,C,1,BLA,BLU,0,BLA,BLA,1,BLA,BLU,1,BLA,BLU,0,BLA,BLA,1,BLA,BLU,NA,,,NA,,,NA,,,0,1,0,0,"Heckman (2008),Michalski (2015)",,,"https://www.inaturalist.org/taxa/197768-Aeolagrion-dorsale/browse_photos, http://libellules-guyane.net/determiner/Aeolagrion_dorsale/",,FSCA
Coenagrionidae,Aeolagrion_inca,Trp,C,1,BLA,BLU,0,BLA,BLA,1,BLA,BLU,1,BLA,BLU,0,BLA,BLA,1,BLA,BLU,NA,,,NA,,,NA,,,0,1,0,0,Heckman (2008),,,https://www.inaturalist.org/taxa/197767-Aeolagrion-inca/browse_photos,,
Coenagrionidae,Aeolagrion_philipi,Trp,C,1,BLA,BLU,0,BLA,BLA,1,BLA,BLU,1,BLA,BLU,0,BLA,BLA,0,BLA,BLA,NA,,,NA,,,NA,,,0,1,0,0,,Tennessen (2009),,,,
