Country,Genus,Species,Taxon,Site,Lat,Hab,FemState,Female,Male,Time
Guyana,Acanthagrion,adustum,Acanthagrion_adustum,Iwokrama Esequibo River,Trp,O,0,4,15,200
Guyana,Acanthagrion,apicale,Acanthagrion_apicale,Iwokrama road stream,Trp,C,,0,2,140
Guyana,Acanthagrion,apicale,Acanthagrion_apicale,Iwokrama road ponds,Trp,C,,0,5,182
Guyana,Acanthagrion,inexpectum,Acanthagrion_inexpectum,Iwokrama road ponds,Trp,O,0,0,6,145
Costa Rica,Acanthagrion,inexpectum,Acanthagrion_inexpectum,Pond at La Gamba Rainforest Lodge,Trp,O,0,1,1,30
Argentina,Acanthagrion,lancea,Acanthagrion_lancea,Garganta trail,Trp,O,0,0,2,126
Argentina,Acanthagrion,lancea,Acanthagrion_lancea,Yacare Swamp,Trp,O,0,0,5,70
Argentina,Acanthagrion,lancea,Acanthagrion_lancea,Upper Garganta Puddles,Trp,O,0,0,6,75
Guyana,Acanthagrion,minutum,Acanthagrion_minutum,Karanambu dam,Trp,O,1,27,42,160
Costa Rica,Acanthagrion,trilobatum,Acanthagrion_trilobatum,Natural Lake at Barbilla Lodge,Trp,O,0,1,11,126
Costa Rica,Acanthagrion,trilobatum,Acanthagrion_trilobatum,Tilapia Pond at Barbilla Lodge,Trp,O,0,0,12,123
Cameroon,Aciagrion,bapepe,Aciagrion_bapepe,Rainforest stream inlet to Dja river,Trp,C,0,1,8,156
Cameroon,Aciagrion,nodosum,Aciagrion_nodosum,Swamp near village after river crossing Dja,Trp,C,0,2,1,160
Cameroon,Africallgama,vaginale,Africallgama_vaginale,Rainforest trail between village and Dja river,Trp,C,,0,1,160
Cameroon,Africallgama,vaginale,Africallgama_vaginale,Swamp near village after river crossing Dja,Trp,C,,0,1,75
Cameroon,Agriocnemis,exilis,Agriocnemis_exilis,Pond on the  route of Banyon,Trp,O,2,6,7,30
Cameroon,Agriocnemis,exilis,Agriocnemis_exilis,Tibati wetland,Trp,O,2,13,13,60
Cameroon,Agriocnemis,forcipata,Agriocnemis_forcipata,river at slaughter house,Trp,O,2,7,3,20
Cameroon,Agriocnemis,forcipata,Agriocnemis_forcipata,Second stop at Nyong river,Trp,O,2,4,6,24
Cameroon,Agriocnemis,victoria,Agriocnemis_victoria,Second wetland and marsh at Malambe,Trp,O,2,8,8,20
Cameroon,Allocnemis,cyanura,Allocnemis_cyanura,Forest stream before rapid section of Dja,Trp,C,0,0,5,120
Cameroon,Allocnemis,cyanura,Allocnemis_cyanura,Swamp near village after river crossing Dja,Trp,C,0,1,9,395
Cameroon,Allocnemis,nigripes,Allocnemis_nigripes,Forest stream CM,Trp,C,2,4,4,150
USA,Amphiagrion,saucium,Amphiagrion_saucium,Webb Mills Boardwalk,Tmp,C,2,0,3,60
Costa Rica,Anisagrion,allopterum,Anisagrion_allopterum,Trickles and roadside near CIEE,Trp,O,2,14,6,138
Costa Rica,Anisagrion,allopterum,Anisagrion_allopterum,Bromelia Trail in Finca Leiton,Trp,O,2,7,14,99
Argentina,Argentagrion,ambiguum,Argentagrion_ambiguum,Marsh North of CP,Trp,O,1,6,9,20
Argentina,Argentagrion,ambiguum,Argentagrion_ambiguum,Socorro Heron Pond,Trp,O,1,7,14,40
Argentina,Argentagrion,ambiguum,Argentagrion_ambiguum,Laguna Ibera Bridge,Trp,O,1,16,9,55
Costa Rica,Argia,adamsi,Argia_adamsi,Stream South of Guacimo,Trp,C,1,2,5,90
Costa Rica,Argia,adamsi,Argia_adamsi,Silvestre Refugio Rio Piro,Trp,C,1,1,14,140
Costa Rica,Argia,anceps,Argia_anceps,Bosquecito UCR,Trp,O,2,5,3,30
USA,Argia,bipunctulata,Argia_bipunctulata,Webb Mills Boardwalk,Tmp,O,2,0,5,60
Costa Rica,Argia,cupraurea,Argia_cupraurea,Veragua Victoria river 1,Trp,O,2,1,45,135
Costa Rica,Argia,cupraurea,Argia_cupraurea,Agua Buena Stream,Trp,O,2,10,23,110
Costa Rica,Argia,cupraurea,Argia_cupraurea,Silvestre Refugio Rio Piro,Trp,O,2,0,3,140
Costa Rica,Argia,cupraurea,Argia_cupraurea,Veragua Victoria river 2,Trp,O,2,3,6,60
Costa Rica,Argia,extranea,Argia_extranea,Trickles and roadside near CIEE,Trp,O,2,8,16,138
Costa Rica,Argia,extranea,Argia_extranea,Bridge over San Luis River,Trp,O,2,5,11,90
Costa Rica,Argia,extranea,Argia_extranea,Savegre River at Providencia,Trp,O,2,2,3,116
Costa Rica,Argia,extranea,Argia_extranea,Stream in pasture  Providencia Road,Trp,O,2,3,15,60
Guyana,Argia,fumigata,Argia_fumigata,Iwokrama road stream,Trp,C,2,1,12,140
USA,Argia,fumipennis,Argia_fumipennis,Beaver Pond at Stokes State Forest,Tmp,O,2,0,2,60
USA,Argia,fumipennis,Argia_fumipennis,Mullica River,Tmp,O,2,0,3,90
USA,Argia,fumipennis,Argia_fumipennis,Ramapo lake,Tmp,O,2,1,11,30
Costa Rica,Argia,gaumeri,Argia_gaumeri,Pond at La Gamba Rainforest Lodge,Trp,O,0,4,2,30
Costa Rica,Argia,gaumeri,Argia_gaumeri,SSE River La Selva,Trp,O,0,1,3,30
Costa Rica,Argia,indicatrix,Argia_indicatrix,Silvestre Refugio Rio Piro,Trp,C,1,1,2,140
Costa Rica,Argia,medullaris,Argia_medullaris,Bromelia Trail in Finca Leiton,Trp,O,2,3,0,99
Costa Rica,Argia,medullaris,Argia_medullaris,Trickles and roadside near CIEE,Trp,O,2,1,4,138
Argentina,Argia,modesta,Argia_modesta,Garganta trail,Trp,O,2,2,9,126
Guyana,Argia,oculata,Argia_oculata,Iwokrama road stream,Trp,C,1,0,2,140
Guyana,Argia,oculata,Argia_oculata,Iwokrama Turtle Mt forest,Trp,C,1,7,2,240
Costa Rica,Argia,oculata,Argia_oculata,Stream South of Guacimo,Trp,C,1,5,18,90
Costa Rica,Argia,oculata,Argia_oculata,Veragua Froghouse,Trp,C,1,5,1,40
Costa Rica,Argia,oenea,Argia_oenea,Stream South of Guacimo,Trp,C,1,10,12,90
Costa Rica,Argia,pulla,Argia_pulla,Large River near Veragua,Trp,O,2,5,15,32
Costa Rica,Argia,pulla,Argia_pulla,Tilapia Pond at Barbilla Lodge,Trp,O,2,3,5,123
Costa Rica,Argia,terira,Argia_terira,Stream in pasture  Providencia Road,Tmp,C,2,0,11,60
Costa Rica,Argia,terira,Argia_terira,Stream in trail near Le Tapir,Tmp,C,2,1,13,180
USA,Argia,tibialis,Argia_tibialis,Mullica River,Tmp,C,1,1,9,90
Guyana,Argia,translata,Argia_translata,Iwokrama Kurupakari river,,O,2,1,5,80
Guyana,Argia,translata,Argia_translata,Iwokrama Esequibo River,,O,2,0,10,200
Costa Rica,Argia,translata,Argia_translata,Stream South of Guacimo,,C,2,1,1,90
Costa Rica,Argia,translata,Argia_translata,Silvestre Refugio Rio Piro,,C,2,1,3,140
Cameroon,Ceriagrion,annulatum,Ceriagrion_annulatum,Forest stream at Mefou Primate Sanctuary,Trp,C,2,0,1,60
Cameroon,Ceriagrion,annulatum,Ceriagrion_annulatum,Forest stream before rapid section of Dja,Trp,C,2,0,1,120
Cameroon,Ceriagrion,annulatum,Ceriagrion_annulatum,Rainforest stream deep in Dja,Trp,C,2,1,0,75
Cameroon,Ceriagrion,annulatum,Ceriagrion_annulatum,River section with rapids near Dja,Trp,C,2,0,1,130
Cameroon,Ceriagrion,annulatum,Ceriagrion_annulatum,Walk around Dja river near ferry crossing,Trp,C,2,0,2,165
Cameroon,Ceriagrion,annulatum,Ceriagrion_annulatum,Swamp near village after river crossing Dja,Trp,C,2,5,8,235
Cameroon,Ceriagrion,glabrum,Ceriagrion_glabrum,Afamba river at Obala,Trp,O,2,0,1,69
Cameroon,Ceriagrion,glabrum,Ceriagrion_glabrum,River outside Mefou Primate Sanctuary,Trp,O,2,1,2,66
USA,Chromagrion,conditum,Chromagrion_conditum,Mullica River,Tmp,O,1,0,6,90
USA,Chromagrion,conditum,Chromagrion_conditum,Beaver Pond at Stokes State Forest,Tmp,O,1,2,15,60
Sweden,Coenagrion,hastulatum,Coenagrion_hastulatum,Svartavad: Holmeja,Tmp,O,1,10,29,99
Sweden,Coenagrion,lunulatum,Coenagrion_lunulatum,Vombsjon,Tmp,O,1,15,39,54
