Iteration	Replicate_ID	Posterior	Likelihood	Prior	prob_gain_A_indep	prob_gain_B_indep	prob_loss_A_indep	prob_loss_B_indep	rate_gain_A_when_B0	rate_gain_A_when_B1	rate_gain_B_when_A0	rate_gain_B_when_A1	rate_loss_A_when_B0	rate_loss_A_when_B1	rate_loss_B_when_A0	rate_loss_B_when_A1	rf[1]	rf[2]	rf[3]	rf[4]
0	0	-304.0785	-317.3756	13.29709	1	0	1	1	0.001356811	0.001356811	0.0001337806	0.0041845	0.006551091	0.006551091	0.006178069	0.006178069	0.035181	0.0614147	0.234799	0.668605
1	1	-297.4504	-317.3621	19.9117	0	0	1	1	0.001119041	0.0008059275	6.204723e-05	0.004089715	0.006639276	0.006639276	0.006058257	0.006058257	0.0439104	0.166108	0.415825	0.374157
2	0	-303.6513	-313.7039	10.05256	1	0	1	1	0.002242171	0.002242171	2.735599e-05	0.004934912	0.005426004	0.005426004	0.008631491	0.008631491	0.00542102	0.477679	0.515447	0.00145325
3	1	-299.3658	-314.5642	15.19846	0	0	1	1	0.001755666	0.0001641359	0.0004808494	0.006606728	0.008053747	0.008053747	0.005864418	0.005864418	0.192117	0.281139	0.518443	0.00830207
4	0	-303.5111	-312.0715	8.560422	1	0	1	1	0.001300208	0.001300208	0.0001499412	0.004468599	0.006706733	0.006706733	0.00995068	0.00995068	0.0980838	0.0701193	0.636057	0.19574
5	1	-299.9009	-318.5887	18.68784	0	0	1	1	0.00121614	0.002032427	7.257025e-05	0.004302242	0.005316493	0.005316493	0.006912328	0.006912328	0.0434328	0.166805	0.219142	0.570621
6	0	-306.5566	-312.367	5.810316	1	0	1	1	0.002985529	0.002985529	0.0004491773	0.005363496	0.005339217	0.005339217	0.01086095	0.01086095	0.0207917	0.168725	0.806417	0.00406629
7	1	-307.0056	-310.8605	3.854875	1	0	1	1	0.00212361	0.00212361	0.0003781573	0.007049268	0.007052614	0.007052614	0.01011701	0.01011701	0.576703	0.222296	0.197001	0.00399901
8	0	-298.5051	-316.242	17.73686	0	0	1	1	0.00112544	0.001402371	0.0001875289	0.003970179	0.00703272	0.00703272	0.006971558	0.006971558	0.0666184	0.134934	0.468582	0.329866
9	1	-305.5849	-312.5316	6.946763	1	0	1	1	0.002201237	0.002201237	0.0005637926	0.006136146	0.005997208	0.005997208	0.009099039	0.009099039	0.13218	0.418938	0.420756	0.0281261
10	0	-305.6487	-317.3131	11.66444	1	0	1	1	0.002554169	0.002554169	0.000155426	0.004306728	0.007747714	0.007747714	0.005078198	0.005078198	0.09212	0.110476	0.263766	0.533638
11	1	-303.6185	-308.8759	5.257406	0	0	1	1	0.00239824	0.0009974087	0.0002314582	0.00711338	0.007617731	0.007617731	0.0133231	0.0133231	0.090936	0.700664	0.191421	0.0169792
12	0	-307.3308	-320.4568	13.12595	1	0	1	1	0.001150578	0.001150578	0.0003053161	0.007331399	0.007409705	0.007409705	0.002357983	0.002357983	0.00329281	0.11995	0.861442	0.0153156
13	1	-297.388	-313.1469	15.75891	0	0	1	1	0.0009439572	0.0001694038	8.730681e-05	0.004417265	0.007402226	0.007402226	0.009411759	0.009411759	0.533914	0.0048001	0.452097	0.00918855
14	0	-296.7398	-317.3998	20.65994	0	0	1	1	0.0009082149	0.0003002641	0.0001376963	0.005166836	0.00565386	0.00565386	0.005948371	0.005948371	0.12229	0.252901	0.622079	0.0027305
15	1	-299.0177	-314.5095	15.49178	0	0	1	1	0.0002131175	5.322413e-05	5.983695e-05	0.004989486	0.006996791	0.006996791	0.01035474	0.01035474	0.0690845	0.360772	0.458888	0.111256
16	0	-303.3963	-311.8582	8.461895	0	0	1	1	0.002216955	0.0009541209	0.0003061047	0.003436121	0.007616201	0.007616201	0.0143294	0.0143294	0.199581	0.206792	0.429773	0.163855
