Iteration	Posterior	Likelihood	Prior	prob_gain_A_indep	prob_gain_B_indep	prob_loss_A_indep	prob_loss_B_indep	rate_gain_A_when_B0	rate_gain_A_when_B1	rate_gain_B_when_A0	rate_gain_B_when_A1	rate_loss_A_when_B0	rate_loss_A_when_B1	rate_loss_B_when_A0	rate_loss_B_when_A1	rf[1]	rf[2]	rf[3]	rf[4]
0	-304.0785	-317.3756	13.29709	1	0	1	1	0.001356811	0.001356811	0.0001337806	0.0041845	0.006551091	0.006551091	0.006178069	0.006178069	0.035181	0.0614147	0.234799	0.668605
100	-303.6513	-313.7039	10.05256	1	0	1	1	0.002242171	0.002242171	2.735599e-05	0.004934912	0.005426004	0.005426004	0.008631491	0.008631491	0.00542102	0.477679	0.515447	0.00145325
200	-303.5111	-312.0715	8.560422	1	0	1	1	0.001300208	0.001300208	0.0001499412	0.004468599	0.006706733	0.006706733	0.00995068	0.00995068	0.0980838	0.0701193	0.636057	0.19574
300	-306.5566	-312.367	5.810316	1	0	1	1	0.002985529	0.002985529	0.0004491773	0.005363496	0.005339217	0.005339217	0.01086095	0.01086095	0.0207917	0.168725	0.806417	0.00406629
400	-298.5051	-316.242	17.73686	0	0	1	1	0.00112544	0.001402371	0.0001875289	0.003970179	0.00703272	0.00703272	0.006971558	0.006971558	0.0666184	0.134934	0.468582	0.329866
500	-305.6487	-317.3131	11.66444	1	0	1	1	0.002554169	0.002554169	0.000155426	0.004306728	0.007747714	0.007747714	0.005078198	0.005078198	0.09212	0.110476	0.263766	0.533638
600	-307.3308	-320.4568	13.12595	1	0	1	1	0.001150578	0.001150578	0.0003053161	0.007331399	0.007409705	0.007409705	0.002357983	0.002357983	0.00329281	0.11995	0.861442	0.0153156
700	-296.7398	-317.3998	20.65994	0	0	1	1	0.0009082149	0.0003002641	0.0001376963	0.005166836	0.00565386	0.00565386	0.005948371	0.005948371	0.12229	0.252901	0.622079	0.0027305
800	-303.3963	-311.8582	8.461895	0	0	1	1	0.002216955	0.0009541209	0.0003061047	0.003436121	0.007616201	0.007616201	0.0143294	0.0143294	0.199581	0.206792	0.429773	0.163855
900	-306.3372	-315.8921	9.554983	1	0	1	0	0.004898496	0.004898496	0.0001237301	0.007486306	0.005798243	0.005798243	0.003137088	0.006452281	0.161295	0.0716153	0.439268	0.327822
1000	-301.2144	-313.2872	12.07277	0	0	1	1	0.00169756	0.0003967108	0.0003239385	0.006752905	0.004765613	0.004765613	0.01174183	0.01174183	0.100763	0.0665415	0.812726	0.0199699
1100	-303.9201	-312.3159	8.395874	1	0	1	1	0.0009884858	0.0009884858	0.0001360361	0.004367945	0.007527376	0.007527376	0.009701247	0.009701247	0.177822	0.024968	0.789897	0.00731253
1200	-298.2781	-314.3183	16.04019	0	0	1	1	0.001622395	0.00112573	4.317845e-05	0.004419176	0.007495143	0.007495143	0.00747855	0.00747855	0.273795	0.417768	0.252462	0.0559751
1300	-301.3691	-311.3063	9.937141	0	0	1	1	0.002626161	0.0008722827	0.0002679131	0.005783241	0.006275001	0.006275001	0.01173495	0.01173495	0.231496	0.482134	0.124314	0.162056
1400	-303.5701	-319.6808	16.11071	0	0	1	1	0.001486451	0.0001417158	0.002054149	0.005486277	0.00691383	0.00691383	0.006039639	0.006039639	0.00413908	0.39229	0.342613	0.260957
1500	-303.2291	-315.4499	12.22085	1	0	1	0	0.003017927	0.003017927	0.0003397657	0.006041802	0.007638064	0.007638064	0.003739831	0.004770738	0.230618	0.171522	0.559182	0.0386786
1600	-299.5849	-319.6766	20.09167	0	0	1	1	0.0009732899	0.001700769	9.154307e-05	0.004934425	0.00728979	0.00728979	0.003625939	0.003625939	0.226711	0.24542	0.347332	0.180537
1700	-301.0387	-313.5633	12.5246	0	0	1	1	0.002710348	0.002486265	1.510337e-05	0.007055257	0.007217385	0.007217385	0.00579624	0.00579624	0.0132656	0.338994	0.219993	0.427748
1800	-304.7016	-311.2748	6.573215	1	0	1	1	0.002228422	0.002228422	0.0003994181	0.005983346	0.007596419	0.007596419	0.008118827	0.008118827	0.186364	0.0712683	0.653733	0.0886343
1900	-306.7399	-311.6675	4.927574	1	0	1	1	0.002200405	0.002200405	6.926443e-05	0.006550231	0.005301827	0.005301827	0.01165413	0.01165413	0.0687891	0.316192	0.255746	0.359273
2000	-303.3753	-325.0288	21.65347	0	0	1	1	0.002483479	0.0003708524	0.0002336407	0.00228162	0.005947648	0.005947648	0.005922927	0.005922927	0.0579448	0.00576933	0.807521	0.128764
2100	-306.0636	-314.5302	8.466579	1	0	1	1	0.002549254	0.002549254	0.0007754226	0.006056635	0.006656463	0.006656463	0.006621041	0.006621041	0.303217	0.00910728	0.379111	0.308565
2200	-300.4983	-313.0743	12.57601	0	0	1	1	0.002625871	0.0001419691	0.0003620922	0.006456204	0.008954165	0.008954165	0.006695015	0.006695015	0.0711982	0.0232856	0.811212	0.0943038
2300	-303.7028	-313.9787	10.27593	1	0	1	1	0.001268367	0.001268367	6.899041e-05	0.006177224	0.00571108	0.00571108	0.007839537	0.007839537	0.0367283	0.303936	0.361607	0.297729
2400	-307.4011	-308.6235	1.222407	0	0	1	1	0.002126846	0.005716272	0.0003026561	0.004859208	0.007137626	0.007137626	0.01509261	0.01509261	0.493302	0.0701736	0.371656	0.0648685
2500	-298.9783	-310.6561	11.67772	0	0	1	1	0.002048309	0.001760679	0.0001769049	0.00618058	0.006307448	0.006307448	0.009552577	0.009552577	0.0940823	0.047882	0.53483	0.323205
2600	-303.4741	-316.6108	13.13673	1	0	1	1	0.002831939	0.002831939	7.048124e-05	0.005305958	0.005979449	0.005979449	0.004357665	0.004357665	0.0119467	0.041787	0.905933	0.0403334
2700	-304.3971	-317.1832	12.78612	1	0	1	1	0.001576936	0.001576936	7.075696e-05	0.007336744	0.005975468	0.005975468	0.00389439	0.00389439	0.0272411	0.165634	0.774506	0.0326194
2800	-299.8628	-320.6403	20.77751	1	0	1	0	0.0006068012	0.0006068012	2.572467e-05	0.005319857	0.006754916	0.006754916	0.0006130227	0.00469136	0.472504	0.110096	0.350482	0.0669172
2900	-297.5631	-317.143	19.5799	0	0	1	1	0.001960593	0.0008342237	1.472815e-06	0.004754772	0.006672703	0.006672703	0.004842736	0.004842736	0.0065338	0.102748	0.272316	0.618402
3000	-299.6774	-319.9959	20.31843	1	0	1	0	0.0008231297	0.0008231297	0.000157783	0.005122728	0.005988243	0.005988243	0.0002206523	0.006103493	0.0883392	0.0690081	0.356085	0.486568
3100	-299.4386	-316.7472	17.30854	0	0	1	1	0.0007237655	0.001197265	0.000161501	0.003536571	0.006287796	0.006287796	0.009160149	0.009160149	0.39143	0.0772982	0.41914	0.112132
