Iteration	Replicate_ID	Posterior	Likelihood	Prior	prob_gain_A_indep	prob_gain_B_indep	prob_loss_A_indep	prob_loss_B_indep	rate_gain_A_when_B0	rate_gain_A_when_B1	rate_gain_B_when_A0	rate_gain_B_when_A1	rate_loss_A_when_B0	rate_loss_A_when_B1	rate_loss_B_when_A0	rate_loss_B_when_A1	rf[1]	rf[2]	rf[3]	rf[4]
0	0	-297.6551	-316.9254	19.27035	0	1	1	0	0.003765651	4.910167e-05	0.006675667	0.006675667	0.006796583	0.006796583	0.001036594	0.001015554	0.60986	0.0417578	0.116515	0.231867
1	1	-301.7899	-318.123	16.33312	0	1	1	0	0.005514283	0.0005857862	0.008717332	0.008717332	0.006167666	0.006167666	0.0008437471	9.735495e-05	0.121848	0.544297	0.145249	0.188605
2	0	-297.827	-319.6169	21.78984	0	1	1	0	0.00458004	0.000304049	0.006197413	0.006197413	0.004009288	0.004009288	0.001932886	9.637908e-05	0.539234	0.0107012	0.149672	0.300392
3	1	-308.1825	-312.0252	3.842772	0	1	1	1	0.006581459	0.0005582294	0.008111983	0.008111983	0.007465251	0.007465251	0.004014399	0.004014399	0.724092	0.0606134	0.0651988	0.150096
4	0	-298.3938	-314.0628	15.66898	0	1	1	0	0.005312455	2.844017e-06	0.007271331	0.007271331	0.005715742	0.005715742	0.002856802	0.001351953	0.402551	0.185515	0.326714	0.0852206
5	1	-306.9847	-313.5406	6.555835	0	1	1	1	0.003367361	9.530379e-05	0.007975039	0.007975039	0.01020782	0.01020782	0.002696212	0.002696212	0.376641	0.247268	0.123349	0.252742
6	0	-293.1826	-316.2765	23.09392	0	1	0	0	0.006077646	0.0001004425	0.006819124	0.006819124	0.006348752	0.001268285	0.001540518	1.265214e-05	0.235752	0.0883241	0.488527	0.187397
7	1	-296.6177	-313.7096	17.09186	0	1	1	0	0.006005637	0.0001172249	0.006367027	0.006367027	0.006972925	0.006972925	0.001540933	0.0002541498	0.355558	0.00244353	0.0617401	0.580259
8	0	-298.7185	-316.2061	17.48768	0	1	1	0	0.004139953	0.0001137655	0.008032637	0.008032637	0.007189365	0.007189365	0.00106466	0.0003688856	0.255898	0.116129	0.375057	0.252916
9	1	-303.6252	-316.5782	12.953	0	1	1	1	0.005151597	0.0001129014	0.006199884	0.006199884	0.004598188	0.004598188	0.002644747	0.002644747	0.602128	0.153056	0.129858	0.114958
10	0	-296.3944	-317.1159	20.72151	0	1	1	0	0.005742792	1.152518e-05	0.006601103	0.006601103	0.004223146	0.004223146	0.001184852	0.0002975907	0.535351	0.182984	0.261835	0.0198296
11	1	-299.1047	-317.1843	18.07951	0	1	1	0	0.004764673	0.0008217672	0.006504492	0.006504492	0.007295301	0.007295301	0.0009192361	8.252766e-05	0.32601	0.268676	0.11485	0.290464
12	0	-305.0567	-314.9821	9.925389	0	1	1	1	0.005345347	0.0004284348	0.00593988	0.00593988	0.006368811	0.006368811	0.003291467	0.003291467	0.698099	0.0673752	0.0720129	0.162513
13	1	-303.7297	-313.2162	9.486486	0	1	1	1	0.004821006	4.340548e-05	0.006773791	0.006773791	0.00890832	0.00890832	0.00121399	0.00121399	0.224873	0.403602	0.00390603	0.367619
14	0	-303.296	-315.2295	11.9335	0	1	1	1	0.005658938	3.233225e-05	0.006265522	0.006265522	0.006822415	0.006822415	0.0008260486	0.0008260486	0.354699	0.255298	0.245767	0.144235
15	1	-304.3166	-312.6715	8.35484	0	1	1	1	0.004541467	0.0003301714	0.005896246	0.005896246	0.0102146	0.0102146	0.001774751	0.001774751	0.690339	0.208726	0.0695062	0.0314286
16	0	-302.3528	-319.7091	17.35629	0	1	1	0	0.003626845	0.001392128	0.007287037	0.007287037	0.006861898	0.006861898	0.00143591	0.00042117	0.425776	0.411032	0.0271622	0.13603
17	1	-304.0326	-313.3635	9.330941	0	1	1	0	0.003983866	0.001182831	0.007432298	0.007432298	0.01199286	0.01199286	0.001542887	0.001958733	0.478729	0.325309	0.0477693	0.148193
18	0	-297.3438	-315.2339	17.89011	0	1	1	0	0.005446808	0.000135299	0.007334943	0.007334943	0.005932082	0.005932082	0.00113387	0.0005718129	0.350237	0.211077	0.110751	0.327935
19	1	-307.3097	-310.4635	3.153794	0	1	1	1	0.005521536	0.0006374381	0.006778812	0.006778812	0.01197961	0.01197961	0.00242076	0.00242076	0.342891	0.265392	0.311612	0.0801047
20	0	-307.8533	-318.0037	10.15041	0	1	1	1	0.005568015	0.0007943232	0.008389427	0.008389427	0.005308446	0.005308446	0.001115542	0.001115542	0.265227	0.0720094	0.124947	0.537816
21	1	-307.393	-320.6585	13.26552	0	1	1	1	0.004518787	0.0004156816	0.006466652	0.006466652	0.004955052	0.004955052	0.002075887	0.002075887	0.025682	0.133481	0.546942	0.293895
22	0	-307.1613	-318.6316	11.47029	0	1	1	1	0.00520264	0.0006701824	0.007399934	0.007399934	0.005622992	0.005622992	0.001117491	0.001117491	0.075064	0.0571949	0.691931	0.175811
23	1	-301.7544	-316.65	14.89556	0	1	1	0	0.005353438	4.901582e-05	0.005158827	0.005158827	0.006507119	0.006507119	0.003026443	0.003097483	0.257759	0.328323	0.390957	0.0229609
24	0	-311.014	-321.0348	10.02081	0	1	1	0	0.005507434	0.0008431753	0.009831075	0.009831075	0.00300502	0.00300502	0.002444999	0.005854155	0.637382	0.0805938	0.0934636	0.188561
25	1	-298.6893	-314.6135	15.92427	0	1	1	0	0.003849647	0.0001581422	0.006918447	0.006918447	0.00936304	0.00936304	0.0013688	0.0006281953	0.234543	0.0275334	0.101769	0.636154
26	0	-301.0199	-317.0719	16.05204	0	1	0	1	0.006324527	8.449313e-05	0.005901822	0.005901822	0.005083262	0.003039968	0.001739661	0.001739661	0.327483	0.285717	0.239655	0.147145
27	1	-302.4581	-313.5593	11.10118	0	1	1	1	0.006095787	9.843246e-06	0.006634886	0.006634886	0.006083226	0.006083226	0.001514596	0.001514596	0.557754	0.13512	0.0846913	0.222435
28	0	-304.3179	-312.9017	8.583826	0	1	1	1	0.005010269	0.0004889705	0.007031108	0.007031108	0.008360978	0.008360978	0.001664223	0.001664223	0.498827	0.13879	0.0419115	0.320471
29	1	-301.7817	-315.094	13.31225	0	1	0	1	0.006552972	5.831611e-05	0.007249283	0.007249283	0.00650003	0.002930709	0.001295545	0.001295545	0.238086	0.0174998	0.0588075	0.685607
30	0	-302.8046	-312.8012	9.996612	0	1	1	1	0.004779671	2.788053e-05	0.007535911	0.007535911	0.007698059	0.007698059	0.001269688	0.001269688	0.693278	0.0934964	0.188652	0.0245742
31	1	-306.2035	-313.7421	7.538575	0	1	1	1	0.004040153	0.0001473503	0.007510718	0.007510718	0.01040416	0.01040416	0.00137379	0.00137379	0.11493	0.0739732	0.643652	0.167444
32	0	-305.2943	-318.305	13.01072	0	1	1	1	0.005090442	0.0002176237	0.005532598	0.005532598	0.005177225	0.005177225	0.002638583	0.002638583	0.214345	0.215852	0.288612	0.281191
33	1	-298.5818	-314.9267	16.34488	0	1	1	0	0.006111884	0.0003729603	0.0069558	0.0069558	0.005136628	0.005136628	0.002335272	0.001003266	0.584941	0.162722	0.0745762	0.177761
34	0	-304.0651	-315.3493	11.28422	0	1	1	1	0.004947365	0.0002625091	0.007065353	0.007065353	0.006407039	0.006407039	0.001494862	0.001494862	0.248291	0.200337	0.0286774	0.522694
35	1	-306.8839	-312.5656	5.681692	0	1	1	1	0.005522268	0.0001215654	0.006663196	0.006663196	0.00802899	0.00802899	0.004775639	0.004775639	0.379095	0.039203	0.563834	0.0178671
36	0	-306.1116	-317.484	11.3723	0	1	1	1	0.006755144	0.0004274176	0.006163246	0.006163246	0.004064866	0.004064866	0.002688867	0.002688867	0.39109	0.00613299	0.24239	0.360387
37	1	-305.6993	-318.7088	13.00948	0	1	1	1	0.006147988	4.328436e-06	0.005083649	0.005083649	0.005536916	0.005536916	0.001884689	0.001884689	0.0843875	0.397084	0.0550964	0.463432
38	0	-299.9828	-312.7288	12.74609	0	1	1	0	0.00570655	0.0001380863	0.007125979	0.007125979	0.006682736	0.006682736	0.003833901	0.001598265	0.621456	0.117473	0.191121	0.0699498
39	1	-298.0417	-315.9398	17.8981	0	1	1	0	0.004398065	0.0001416519	0.006221191	0.006221191	0.006423201	0.006423201	0.002012261	0.001351408	0.415862	0.303887	0.182491	0.0977605
40	0	-298.3535	-317.0063	18.65275	0	1	1	0	0.004383916	0.0001228153	0.005763914	0.005763914	0.006764129	0.006764129	0.001322752	0.001525583	0.360119	0.170627	0.409791	0.0594629
41	1	-298.04	-315.5548	17.51483	0	1	1	0	0.005386229	1.782171e-05	0.008268672	0.008268672	0.006152671	0.006152671	0.0007275597	0.0003324006	0.453235	0.0327664	0.471947	0.0420515
