Iteration	Posterior	Likelihood	Prior	prob_gain_A_indep	prob_gain_B_indep	prob_loss_A_indep	prob_loss_B_indep	rate_gain_A_when_B0	rate_gain_A_when_B1	rate_gain_B_when_A0	rate_gain_B_when_A1	rate_loss_A_when_B0	rate_loss_A_when_B1	rate_loss_B_when_A0	rate_loss_B_when_A1	rf[1]	rf[2]	rf[3]	rf[4]
0	-297.6551	-316.9254	19.27035	0	1	1	0	0.003765651	4.910167e-05	0.006675667	0.006675667	0.006796583	0.006796583	0.001036594	0.001015554	0.60986	0.0417578	0.116515	0.231867
100	-297.827	-319.6169	21.78984	0	1	1	0	0.00458004	0.000304049	0.006197413	0.006197413	0.004009288	0.004009288	0.001932886	9.637908e-05	0.539234	0.0107012	0.149672	0.300392
200	-298.3938	-314.0628	15.66898	0	1	1	0	0.005312455	2.844017e-06	0.007271331	0.007271331	0.005715742	0.005715742	0.002856802	0.001351953	0.402551	0.185515	0.326714	0.0852206
300	-293.1826	-316.2765	23.09392	0	1	0	0	0.006077646	0.0001004425	0.006819124	0.006819124	0.006348752	0.001268285	0.001540518	1.265214e-05	0.235752	0.0883241	0.488527	0.187397
400	-298.7185	-316.2061	17.48768	0	1	1	0	0.004139953	0.0001137655	0.008032637	0.008032637	0.007189365	0.007189365	0.00106466	0.0003688856	0.255898	0.116129	0.375057	0.252916
500	-296.3944	-317.1159	20.72151	0	1	1	0	0.005742792	1.152518e-05	0.006601103	0.006601103	0.004223146	0.004223146	0.001184852	0.0002975907	0.535351	0.182984	0.261835	0.0198296
600	-305.0567	-314.9821	9.925389	0	1	1	1	0.005345347	0.0004284348	0.00593988	0.00593988	0.006368811	0.006368811	0.003291467	0.003291467	0.698099	0.0673752	0.0720129	0.162513
700	-303.296	-315.2295	11.9335	0	1	1	1	0.005658938	3.233225e-05	0.006265522	0.006265522	0.006822415	0.006822415	0.0008260486	0.0008260486	0.354699	0.255298	0.245767	0.144235
800	-302.3528	-319.7091	17.35629	0	1	1	0	0.003626845	0.001392128	0.007287037	0.007287037	0.006861898	0.006861898	0.00143591	0.00042117	0.425776	0.411032	0.0271622	0.13603
900	-297.3438	-315.2339	17.89011	0	1	1	0	0.005446808	0.000135299	0.007334943	0.007334943	0.005932082	0.005932082	0.00113387	0.0005718129	0.350237	0.211077	0.110751	0.327935
1000	-307.8533	-318.0037	10.15041	0	1	1	1	0.005568015	0.0007943232	0.008389427	0.008389427	0.005308446	0.005308446	0.001115542	0.001115542	0.265227	0.0720094	0.124947	0.537816
1100	-307.1613	-318.6316	11.47029	0	1	1	1	0.00520264	0.0006701824	0.007399934	0.007399934	0.005622992	0.005622992	0.001117491	0.001117491	0.075064	0.0571949	0.691931	0.175811
1200	-311.014	-321.0348	10.02081	0	1	1	0	0.005507434	0.0008431753	0.009831075	0.009831075	0.00300502	0.00300502	0.002444999	0.005854155	0.637382	0.0805938	0.0934636	0.188561
1300	-301.0199	-317.0719	16.05204	0	1	0	1	0.006324527	8.449313e-05	0.005901822	0.005901822	0.005083262	0.003039968	0.001739661	0.001739661	0.327483	0.285717	0.239655	0.147145
1400	-304.3179	-312.9017	8.583826	0	1	1	1	0.005010269	0.0004889705	0.007031108	0.007031108	0.008360978	0.008360978	0.001664223	0.001664223	0.498827	0.13879	0.0419115	0.320471
1500	-302.8046	-312.8012	9.996612	0	1	1	1	0.004779671	2.788053e-05	0.007535911	0.007535911	0.007698059	0.007698059	0.001269688	0.001269688	0.693278	0.0934964	0.188652	0.0245742
1600	-305.2943	-318.305	13.01072	0	1	1	1	0.005090442	0.0002176237	0.005532598	0.005532598	0.005177225	0.005177225	0.002638583	0.002638583	0.214345	0.215852	0.288612	0.281191
1700	-304.0651	-315.3493	11.28422	0	1	1	1	0.004947365	0.0002625091	0.007065353	0.007065353	0.006407039	0.006407039	0.001494862	0.001494862	0.248291	0.200337	0.0286774	0.522694
1800	-306.1116	-317.484	11.3723	0	1	1	1	0.006755144	0.0004274176	0.006163246	0.006163246	0.004064866	0.004064866	0.002688867	0.002688867	0.39109	0.00613299	0.24239	0.360387
