Iteration	Replicate_ID	Posterior	Likelihood	Prior	prob_gain_A_indep	prob_gain_B_indep	prob_loss_A_indep	prob_loss_B_indep	rate_gain_A_when_B0	rate_gain_A_when_B1	rate_gain_B_when_A0	rate_gain_B_when_A1	rate_loss_A_when_B0	rate_loss_A_when_B1	rate_loss_B_when_A0	rate_loss_B_when_A1	rf[1]	rf[2]	rf[3]	rf[4]
0	0	-300.8617	-312.6511	11.78937	1	0	1	1	0.003952048	0.003952048	0.001364178	0.009742424	0.002419459	0.002419459	0.001713958	0.001713958	0.251125	0.249447	0.401004	0.0984244
1	1	-291.6797	-306.1016	14.42191	1	0	0	0	0.00341259	0.00341259	0.001438868	0.01171622	0.004012626	0.002537547	0.002031645	0.003823336	0.246649	0.379851	0.275864	0.0976369
2	0	-293.4034	-306.623	13.21961	0	0	1	1	0.004252357	0.0009189963	0.001593873	0.01104543	0.002609487	0.002609487	0.00356544	0.00356544	0.508208	0.0661783	0.140346	0.285268
3	1	-295.6068	-303.1327	7.52593	1	0	0	1	0.004906574	0.004906574	0.001820078	0.01101016	0.003683549	0.0003775784	0.007026646	0.007026646	0.308178	0.446916	0.21631	0.028596
4	0	-297.1772	-304.9585	7.781331	0	0	1	1	0.003654591	0.001215055	0.00117287	0.01607041	0.001495223	0.001495223	0.004999375	0.004999375	0.304076	0.512687	0.181215	0.00202158
5	1	-294.1644	-309.2183	15.05388	0	0	1	1	0.003040573	0.0003092663	0.0008986955	0.01044577	0.002869619	0.002869619	0.004862725	0.004862725	0.438397	0.202462	0.136226	0.222915
6	0	-298.2476	-311.8299	13.58226	0	0	1	1	0.004800723	0.002346771	0.001243378	0.00880112	0.002728324	0.002728324	0.003757054	0.003757054	0.0589355	0.17069	0.410142	0.360233
7	1	-298.7495	-304.7427	5.993282	1	0	1	1	0.00462447	0.00462447	0.001575897	0.01073477	0.002753049	0.002753049	0.004429913	0.004429913	0.708761	0.0107906	0.212998	0.0674501
8	0	-299.5252	-307.9577	8.432501	1	0	1	1	0.004471653	0.004471653	0.001394824	0.01062352	0.002236694	0.002236694	0.003318341	0.003318341	0.283604	0.601848	0.0497891	0.0647591
9	1	-300.8124	-304.6285	3.816119	1	0	1	1	0.00500391	0.00500391	0.001926889	0.01167599	0.0031428	0.0031428	0.004218862	0.004218862	0.35382	0.377782	0.0423015	0.226097
