Iteration	Posterior	Likelihood	Prior	prob_gain_A_indep	prob_gain_B_indep	prob_loss_A_indep	prob_loss_B_indep	rate_gain_A_when_B0	rate_gain_A_when_B1	rate_gain_B_when_A0	rate_gain_B_when_A1	rate_loss_A_when_B0	rate_loss_A_when_B1	rate_loss_B_when_A0	rate_loss_B_when_A1	rf[1]	rf[2]	rf[3]	rf[4]
0	-291.6797	-306.1016	14.42191	1	0	0	0	0.00341259	0.00341259	0.001438868	0.01171622	0.004012626	0.002537547	0.002031645	0.003823336	0.246649	0.379851	0.275864	0.0976369
100	-295.6068	-303.1327	7.52593	1	0	0	1	0.004906574	0.004906574	0.001820078	0.01101016	0.003683549	0.0003775784	0.007026646	0.007026646	0.308178	0.446916	0.21631	0.028596
200	-294.1644	-309.2183	15.05388	0	0	1	1	0.003040573	0.0003092663	0.0008986955	0.01044577	0.002869619	0.002869619	0.004862725	0.004862725	0.438397	0.202462	0.136226	0.222915
300	-298.7495	-304.7427	5.993282	1	0	1	1	0.00462447	0.00462447	0.001575897	0.01073477	0.002753049	0.002753049	0.004429913	0.004429913	0.708761	0.0107906	0.212998	0.0674501
400	-300.8124	-304.6285	3.816119	1	0	1	1	0.00500391	0.00500391	0.001926889	0.01167599	0.0031428	0.0031428	0.004218862	0.004218862	0.35382	0.377782	0.0423015	0.226097
500	-299.5073	-307.0229	7.515597	1	0	1	1	0.003908747	0.003908747	0.001916794	0.01072307	0.001610727	0.001610727	0.004664963	0.004664963	0.434471	0.0514411	0.305263	0.208826
600	-295.8604	-304.8331	8.972629	1	0	1	0	0.004085411	0.004085411	0.001590649	0.01045674	0.001910614	0.001910614	0.0009890506	0.008562585	0.638549	0.0187313	0.20885	0.133869
700	-294.8719	-304.241	9.369092	0	0	1	0	0.004976556	0.002806719	0.001096313	0.01056684	0.003776926	0.003776926	0.001512937	0.008530873	0.484165	0.0192726	0.084314	0.412248
800	-297.7236	-313.4268	15.70315	0	0	1	1	0.003356817	0.002480673	0.001289886	0.008894117	0.003976743	0.003976743	0.001876612	0.001876612	0.34675	0.464395	0.0376164	0.151239
900	-297.8356	-309.6552	11.81962	1	0	0	1	0.005141106	0.005141106	0.001850848	0.008386456	0.00318891	0.002867613	0.00374049	0.00374049	0.359558	0.283751	0.0220168	0.334675
1000	-297.3186	-307.7942	10.47555	0	0	1	1	0.003139674	0.0001446276	0.001797908	0.01615505	0.002451704	0.002451704	0.002628773	0.002628773	0.28297	0.250267	0.0138604	0.452903
1100	-294.8849	-303.765	8.880087	1	0	0	1	0.003770927	0.003770927	0.001255513	0.01234655	0.002945931	0.002101835	0.005252951	0.005252951	0.369861	0.0197835	0.174302	0.436054
1200	-295.1244	-310.0836	14.95914	1	0	0	1	0.004937104	0.004937104	0.001772988	0.01151174	0.001768867	0.0002971373	0.002219339	0.002219339	0.382108	0.291086	0.272941	0.0538653
1300	-294.6641	-309.1826	14.51849	1	0	0	1	0.003958961	0.003958961	0.001520748	0.01095304	0.002416446	0.001717854	0.00231463	0.00231463	0.378402	0.16208	0.0417618	0.417757
1400	-302.0971	-304.4792	2.382139	1	0	1	1	0.002916011	0.002916011	0.001711044	0.01413613	0.003977218	0.003977218	0.004446777	0.004446777	0.399032	0.394927	0.0619258	0.144115
1500	-299.9533	-306.7873	6.834001	1	0	1	1	0.004586722	0.004586722	0.001276853	0.009610875	0.002157059	0.002157059	0.005772074	0.005772074	0.430746	0.194758	0.116588	0.257908
1600	-299.2181	-306.5656	7.347501	1	0	1	1	0.003907754	0.003907754	0.001684149	0.01218375	0.002572909	0.002572909	0.0026186	0.0026186	0.621159	0.283058	0.0169985	0.0787843
1700	-294.56	-305.4105	10.85054	1	0	1	0	0.004346136	0.004346136	0.001660282	0.01085618	0.002660943	0.002660943	0.002094501	0.004380992	0.506371	0.0305262	0.14408	0.319023
1800	-288.3253	-304.4799	16.15451	0	0	1	0	0.003783342	0.0009364846	0.001439307	0.01204148	0.003727132	0.003727132	0.0009597794	0.004612778	0.529729	0.328395	0.0110637	0.130812
1900	-293.7159	-312.4519	18.73602	1	0	1	0	0.003511653	0.003511653	0.001438557	0.008802359	0.001371926	0.001371926	2.39655e-05	0.004148784	0.398119	0.220414	0.0633066	0.31816
2000	-295.1534	-310.8251	15.67178	1	0	1	0	0.003717321	0.003717321	0.001790774	0.01159344	0.001480707	0.001480707	0.001357592	0.001961668	0.644352	0.0826828	0.184974	0.0879905
2100	-296.0147	-308.4339	12.41921	1	0	1	0	0.003765268	0.003765268	0.001584971	0.009016498	0.00257548	0.00257548	0.003379271	0.004344347	0.48496	0.241615	0.134205	0.13922
