Iteration	Posterior	Likelihood	Prior	extinction[1]	extinction[2]	extinction[3]	extinction[4]	extinction[5]	extinction[6]	extinction_hidden[1]	extinction_hidden[2]	extinction_hidden_sd	extinction_hidden_unormalized[1]	extinction_hidden_unormalized[2]	extinction_observed[1]	extinction_observed[2]	extinction_observed[3]	hidden_rate	R[1]	R[2]	rate_category_prior[1]	rate_category_prior[2]	rate_category_prior[3]	rate_category_prior[4]	rate_category_prior[5]	rate_category_prior[6]	speciation[1]	speciation[2]	speciation[3]	speciation[4]	speciation[5]	speciation[6]	speciation_hidden[1]	speciation_hidden[2]	speciation_hidden_sd	speciation_hidden_unormalized[1]	speciation_hidden_unormalized[2]	speciation_observed[1]	speciation_observed[2]	speciation_observed[3]	transition_rates[1]	transition_rates[2]	transition_rates[3]	transition_rates[4]	transition_rates[5]	transition_rates[6]
0	54.17868	0	54.17868	0.000642456	0.000642456	0.000642456	0.0057499	0.0057499	0.0057499	0.201008	1.79899	1.624665	0.334265	2.99163	0.00319618	0.00319618	0.00319618	0.0004637515	0.000463751	0.000463751	0.0964763	0.634623	0.00976723	0.20734	0.013693	0.0380998	0.0263859	0.0263859	0.0263859	0.0375376	0.0375376	0.0375376	0.825547	1.17445	0.2613179	0.838403	1.19274	0.0319618	0.0319618	0.0319618	0.000768807	0.00342546	0.000546904	0.000345919	0.000891477	0.000278556
100	69.82734	0	69.82734	0.000132457	3.02503e-05	1.14326	0.000218023	4.97916e-05	1.88179	0.755862	1.24414	0.3694202	0.779447	1.28296	0.00017524	4.00209e-05	1.51253	0.0007936439	0.000793644	0.000793644	0.0460444	0.133213	0.166064	0.275051	0.0723841	0.307244	0.464463	4.35115e-05	0.000838774	0.476571	4.46458e-05	0.000860639	0.987134	1.01287	0.01907669	0.987215	1.01295	0.470517	4.40787e-05	0.000849707	0.00016907	0.000627303	0.00016256	0.000210254	0.000105997	0.00123259
200	60.36689	0	60.36689	1.14835e-05	6.51846e-06	9.76635	7.65453e-05	4.34499e-05	65.0993	0.260903	1.7391	1.406226	0.387327	2.5818	4.40144e-05	2.49842e-05	37.4328	5.764828e-05	5.76483e-05	5.76483e-05	0.00516613	0.697095	0.0251026	0.177724	0.0158577	0.0790545	10.6851	0.000197505	0.000112566	33.2769	0.000615092	0.000350567	0.486107	1.51389	0.8421259	0.566655	1.76474	21.981	0.000406298	0.000231567	0.000471069	0.00105472	0.000544815	0.000957446	0.000263111	8.5577e-05
300	68.10589	0	68.10589	0.0074834	1.06965	1.25863e-06	0.00822251	1.17529	1.38294e-06	0.952941	1.04706	0.06982191	0.953998	1.04822	0.00785296	1.12247	1.32079e-06	0.0003349404	0.00033494	0.00033494	0.123171	0.0385666	0.487581	0.210169	0.0687583	0.0717548	0.00843387	0.0176923	0.000313015	0.0120237	0.0252228	0.000446247	0.824524	1.17548	0.2628818	0.837519	1.194	0.0102288	0.0214575	0.000379631	0.000153851	0.000617334	8.4422e-05	0.00119388	0.000221891	0.000825586
400	61.19608	0	61.19608	1.53317e-06	11.2956	0.00048591	3.25325e-06	23.9682	0.00103106	0.640632	1.35937	0.5576959	0.686492	1.45668	2.39321e-06	17.6319	0.000758485	0.001480215	0.00148022	0.00148022	0.127972	0.0489632	0.281385	0.14959	0.0129348	0.379155	3.46868e-05	0.00767298	0.201884	6.26572e-05	0.0138602	0.364677	0.712665	1.28734	0.4383451	0.744041	1.34401	4.8672e-05	0.0107666	0.28328	0.00214956	0.000336795	0.000365774	0.00105154	0.000220473	0.00104813
500	48.60193	0	48.60193	1.92441e-05	0.0018832	2.04861	2.26766e-05	0.0022191	2.41401	0.91812	1.08188	0.1216684	0.921213	1.08553	2.09604e-05	0.00205115	2.23131	0.0003078192	0.000307819	0.000307819	0.0562538	0.154823	0.0326479	0.72545	0.00439516	0.0264303	10.1533	55.1361	0.00968264	14.3005	77.657	0.0136376	0.830406	1.16959	0.2538931	0.842612	1.18679	12.2269	66.3966	0.0116601	0.000213798	0.000112765	0.000727821	0.000850428	0.000214516	6.263e-05
600	39.67929	0	39.67929	0.00141591	0.069007	5.78677	0.00188396	0.0918181	7.69966	0.858162	1.14184	0.2117163	0.866927	1.1535	0.00164993	0.0804126	6.74322	0.0004673587	0.000467359	0.000467359	0.178722	0.0560843	0.0691395	0.078392	0.172689	0.444973	1.71956	0.000339918	3.19335	2.8429	0.000561976	5.27946	0.753787	1.24621	0.3726919	0.777729	1.28579	2.28123	0.000450947	4.23641	6.52456e-05	0.00125043	0.00198045	0.000845049	0.00156096	0.00178296
700	54.56059	0	54.56059	0.825182	0.148082	3.49128e-05	0.939139	0.168533	3.97342e-05	0.93541	1.06459	0.09589503	0.937367	1.06682	0.882161	0.158308	3.73235e-05	0.002117144	0.00211714	0.00211714	0.112406	0.326755	0.100855	0.2732	0.0782605	0.108524	0.0675544	6.70618e-05	0.205233	0.0885564	8.79106e-05	0.269037	0.865468	1.13453	0.2006744	0.873408	1.14494	0.0780554	7.74862e-05	0.237135	0.000577957	0.0010952	0.0011648	0.000850089	0.000320779	0.000883969
800	57.43521	0	57.43521	9.34873	0.845366	0.000618051	10.3163	0.93286	0.000682018	0.950797	1.0492	0.07300782	0.95195	1.05048	9.83252	0.889113	0.000650034	0.000624768	0.000624768	0.000624768	0.209776	0.105352	0.0218118	0.431213	0.180896	0.0509516	0.00782819	0.000449483	3.6825e-06	0.0559677	0.00321358	2.63281e-05	0.245414	1.75459	1.458171	0.373992	2.67386	0.0318979	0.00183153	1.50053e-05	0.00184708	0.000245466	6.46992e-05	0.000147799	0.00055474	1.37902e-05
900	52.38729	0	52.38729	0.0166284	0.000400004	1.53653e-05	0.031172	0.000749856	2.88041e-05	0.695744	1.30426	0.4658379	0.730371	1.36917	0.0239002	0.00057493	2.20847e-05	0.001484779	0.00148478	0.00148478	0.340967	0.0222372	0.0192376	0.242455	0.168335	0.206769	0.00430017	0.31957	36.0025	0.0123188	0.915482	103.137	0.5175	1.4825	0.780201	0.590824	1.69255	0.0083095	0.617526	69.5699	0.000558885	8.11536e-05	0.000914621	0.000867628	0.000871419	0.000605224
