Iteration	Posterior	Likelihood	Prior	extinction[1]	extinction[2]	extinction[3]	extinction[4]	extinction[5]	extinction[6]	extinction_hidden[1]	extinction_hidden[2]	extinction_hidden_sd	extinction_hidden_unormalized[1]	extinction_hidden_unormalized[2]	extinction_observed[1]	extinction_observed[2]	extinction_observed[3]	hidden_rate	R[1]	R[2]	rate_category_prior[1]	rate_category_prior[2]	rate_category_prior[3]	rate_category_prior[4]	rate_category_prior[5]	rate_category_prior[6]	speciation[1]	speciation[2]	speciation[3]	speciation[4]	speciation[5]	speciation[6]	speciation_hidden[1]	speciation_hidden[2]	speciation_hidden_sd	speciation_hidden_unormalized[1]	speciation_hidden_unormalized[2]	speciation_observed[1]	speciation_observed[2]	speciation_observed[3]	transition_rates[1]	transition_rates[2]	transition_rates[3]	transition_rates[4]	transition_rates[5]	transition_rates[6]
0	-4303.394	-4367.244	63.85001	0.00218853	0.00218853	0.00218853	0.00420383	0.00420383	0.00420383	0.684733	1.31527	0.4838959	0.721529	1.38595	0.00319618	0.00319618	0.00319618	1.462742e-06	1.46274e-06	1.46274e-06	0.043667	0.0704645	0.455526	0.104659	0.234687	0.0909971	0.029601	0.029601	0.029601	0.0343226	0.0343226	0.0343226	0.926138	1.07386	0.1097079	0.928675	1.0768	0.0319618	0.0319618	0.0319618	0.000354043	0.000229599	0.00031745	0.00119134	0.000221038	0.00251054
100	-4020.76	-4057.901	37.14031	1.54887e-05	0.0933385	0.000771234	2.34036e-05	0.141036	0.00116535	0.796491	1.20351	0.305995	0.813515	1.22923	1.94462e-05	0.117187	0.00096829	4.120979e-05	4.12098e-05	4.12098e-05	0.0998803	0.334474	0.130239	0.345774	0.0137195	0.0759137	0.0321679	0.137454	0.0606802	0.0371567	0.158771	0.0700908	0.928037	1.07196	0.106877	0.93045	1.07475	0.0346623	0.148112	0.0653855	0.000696517	0.00233442	0.00387952	0.00128389	0.00765513	0.00997232
200	-4027.416	-4056.801	29.38476	1.00457e-05	0.0995709	0.00322637	1.37948e-05	0.136731	0.00443046	0.842742	1.15726	0.2351013	0.85336	1.17184	1.19202e-05	0.118151	0.00382842	0.0006311853	0.000631185	0.000631185	0.0514706	0.108211	0.166697	0.218734	0.158767	0.296122	0.0314007	0.122911	0.0611659	0.0423162	0.165638	0.0824284	0.851927	1.14807	0.2211598	0.861423	1.16087	0.0368584	0.144274	0.0717972	0.00263086	0.00166744	0.00522835	0.00142217	0.00740091	0.0119987
300	-4026.23	-4059.063	32.83309	0.0135336	0.0811885	1.99242e-05	0.0257441	0.154439	3.79004e-05	0.689125	1.31088	0.4766771	0.725051	1.37921	0.0196389	0.117814	2.89123e-05	0.0004333779	0.000433378	0.000433378	0.0981859	0.139936	0.238933	0.0951374	0.285752	0.142055	0.034918	0.123887	0.0564831	0.060454	0.214488	0.0977901	0.732248	1.26775	0.4068868	0.759997	1.31579	0.047686	0.169188	0.0771366	0.00159465	0.00068961	0.00397874	0.000775694	0.010435	0.0075541
400	-4031.25	-4058.46	27.21009	0.0137405	0.119259	7.90117e-05	0.0492917	0.427821	0.000283441	0.435983	1.56402	0.946944	0.527976	1.89402	0.0315161	0.27354	0.000181226	0.0003847631	0.000384763	0.000384763	0.0259013	0.0831923	0.619893	0.00498736	0.253843	0.0121827	0.0425332	0.163691	0.0531465	0.0546413	0.21029	0.0682759	0.875399	1.1246	0.1856991	0.882274	1.13343	0.0485872	0.18699	0.0607112	0.000435682	0.00286856	0.00233112	0.00697122	0.00895507	0.00518105
500	-4029.953	-4060.287	30.33443	5.66344e-07	0.039974	0.00932033	1.64443e-06	0.116068	0.0270625	0.512348	1.48765	0.7901898	0.586857	1.70399	1.10539e-06	0.0780211	0.0181914	0.0004455822	0.000445582	0.000445582	0.0258333	0.130814	0.129918	0.371884	0.119762	0.221789	0.0316782	0.101998	0.0562198	0.0436307	0.140482	0.0774321	0.841287	1.15871	0.2373139	0.852088	1.17359	0.0376545	0.12124	0.066826	0.000307191	0.00241849	0.0103207	0.0100749	0.00426856	0.00278822
600	-4029.622	-4050.428	20.80601	2.36434e-05	0.0908537	0.0197093	2.72685e-05	0.104784	0.0227311	0.928797	1.0712	0.105744	0.931161	1.07393	2.54559e-05	0.0978186	0.0212202	0.0001992264	0.000199226	0.000199226	0.457393	0.214776	0.0204499	0.127237	0.0609648	0.119179	0.0312699	0.126301	0.0618955	0.0477188	0.192739	0.0944542	0.791757	1.20824	0.3133243	0.809504	1.23532	0.0394944	0.15952	0.0781748	0.000551961	0.00519006	0.00597934	0.0122882	0.00654439	0.00491701
700	-4021.738	-4062.645	40.90723	1.33833e-05	0.0685347	0.000157383	1.44493e-05	0.0739937	0.000169919	0.961699	1.0383	0.05681247	0.962405	1.03906	1.39163e-05	0.0712642	0.000163651	0.001064085	0.00106409	0.00106409	0.112282	0.242093	0.0868502	0.0431964	0.0926822	0.422897	0.0211161	0.103843	0.055724	0.0343653	0.168999	0.0906879	0.761195	1.2388	0.3610227	0.783875	1.27571	0.0277407	0.136421	0.073206	0.000282551	0.00190297	0.00595625	0.00103732	0.00718942	0.00768238
800	-4023.606	-4056.536	32.92971	0.00025499	0.0888988	0.000809082	0.000362145	0.126257	0.00114908	0.826367	1.17363	0.2600632	0.839113	1.19173	0.000308567	0.107578	0.000979082	0.0005522428	0.000552243	0.000552243	0.381913	0.0841719	0.0327294	0.263218	0.23651	0.00145786	0.00567926	0.0280977	0.0088155	0.0333267	0.164881	0.0517306	0.291199	1.7088	1.311761	0.412809	2.42243	0.019503	0.0964895	0.0302731	0.00115414	0.00258982	0.00519699	0.00630708	0.00801638	0.00306163
900	-4026.148	-4055.162	29.01461	0.00295693	0.0485511	0.000327532	0.00673699	0.110618	0.000746241	0.610058	1.38994	0.6104341	0.662502	1.50943	0.00484696	0.0795845	0.000536887	0.0001409094	0.000140909	0.000140909	0.267286	0.00976056	0.0160366	0.0625565	0.491381	0.152979	0.0244486	0.10508	0.0385973	0.0336316	0.144549	0.0530947	0.84189	1.15811	0.2363972	0.852615	1.17286	0.0290401	0.124815	0.045846	0.00045668	0.00104609	0.00623625	0.00858982	0.00897067	0.0031488
