Comparison	Hidden	Mean	Lwr	Upr	PMCMC	Rate_type
0vs1	0	-0.0649483024857375	-0.1156369	-0.0208205	0	speciation
0vs1	1	-0.26697865895	-0.485543	-0.0683127	0	speciation
0vs2	0	-0.0203889099956125	-0.0355874	-0.0043077	0.00375	speciation
0vs2	1	-0.0902798998	-0.190993	-0.00460780000000001	0.00375	speciation
2vs1	0	-0.044559392490125	-0.0920571	-0.000558204	0.009375	speciation
2vs1	1	-0.17669875915	-0.375433	-0.00817800000000002	0.009375	speciation
0vs1	0	-0.0454779052862773	-0.101702607	0.00557025336	0.0645	extinction
0vs1	1	-0.0939604826283375	-0.2633435	0.0246104	0.0645	extinction
0vs2	0	-0.00014814986159855	-0.012679498	0.009776704	0.482125	extinction
0vs2	1	-0.00361691875677625	-0.0296310328	0.0264650756	0.482125	extinction
2vs1	0	-0.0453297554246788	-0.1040458256	0.007095908	0.07575	extinction
2vs1	1	-0.0903435638715613	-0.29128367	0.0218272	0.07575	extinction
0vs1	0	-0.0194703971994602	-0.048313443	0.00675895099999999	0.067125	net diversification
0vs1	1	-0.173018176321662	-0.3988527797	0.0139063	0.040125	net diversification
0vs2	0	-0.0202407601340139	-0.034865052	-0.005454737694	0.00425	net diversification
0vs2	1	-0.0866629810432237	-0.19374395	-0.00571647303	0.011375	net diversification
2vs1	0	0.000770362934553787	-0.027112101	0.02794624	0.511625	net diversification
2vs1	1	-0.0863551952784388	-0.2860556444	0.0738765291	0.151	net diversification
0vs1	0	-0.454123784881629	-0.799795630717246	0.0800531320586056	0.083875	turnover
0vs1	1	-0.252966076438636	-0.751190890125241	0.0453717451456012	0.083875	turnover
0vs2	0	0.0116930637289735	-0.202853632144867	0.301120571676169	0.5355	turnover
0vs2	1	-0.00247526773094567	-0.170467223184975	0.179318579186281	0.5355	turnover
2vs1	0	-0.465816848610602	-0.811124294957416	0.0665318432765958	0.080125	turnover
2vs1	1	-0.25049080870769	-0.759870721037164	0.0439845735302454	0.080125	turnover
